x4000c0s0b0n0 ofi+cxi://0x00916600
x4000c0s1b0n0 ofi+cxi://0x00914600
x4000c0s2b0n0 ofi+cxi://0x00916200
x4000c0s3b0n0 ofi+cxi://0x00914200
x4000c0s4b0n0 ofi+cxi://0x00912000
x4000c0s5b0n0 ofi+cxi://0x00910000
x4000c0s6b0n0 ofi+cxi://0x00912400
x4000c0s7b0n0 ofi+cxi://0x00910400
x4000c1s0b0n0 ofi+cxi://0x00936600
x4000c1s1b0n0 ofi+cxi://0x00934600
x4000c1s2b0n0 ofi+cxi://0x00936200
x4000c1s3b0n0 ofi+cxi://0x00934200
x4000c1s4b0n0 ofi+cxi://0x00932000
x4000c1s5b0n0 ofi+cxi://0x00930000
x4000c1s6b0n0 ofi+cxi://0x00932400
x4000c1s7b0n0 ofi+cxi://0x00930400
x4000c2s0b0n0 ofi+cxi://0x00956600
x4000c2s1b0n0 ofi+cxi://0x00954600
x4000c2s2b0n0 ofi+cxi://0x00956200
x4000c2s3b0n0 ofi+cxi://0x00954200
x4000c2s4b0n0 ofi+cxi://0x00952000
x4000c2s5b0n0 ofi+cxi://0x00950000
x4000c2s6b0n0 ofi+cxi://0x00952400
x4000c2s7b0n0 ofi+cxi://0x00950400
x4000c3s0b0n0 ofi+cxi://0x00976600
x4000c3s1b0n0 ofi+cxi://0x00974600
x4000c3s2b0n0 ofi+cxi://0x00976200
x4000c3s3b0n0 ofi+cxi://0x00974200
x4000c3s4b0n0 ofi+cxi://0x00972000
x4000c3s5b0n0 ofi+cxi://0x00970000
x4000c3s6b0n0 ofi+cxi://0x00972400
x4000c3s7b0n0 ofi+cxi://0x00970400
x4000c4s0b0n0 ofi+cxi://0x00996600
x4000c4s1b0n0 ofi+cxi://0x00994600
x4000c4s2b0n0 ofi+cxi://0x00996200
x4000c4s3b0n0 ofi+cxi://0x00994200
x4000c4s4b0n0 ofi+cxi://0x00992000
x4000c4s5b0n0 ofi+cxi://0x00990000
x4000c4s6b0n0 ofi+cxi://0x00992400
x4000c4s7b0n0 ofi+cxi://0x00990400
x4000c5s0b0n0 ofi+cxi://0x009b6600
x4000c5s1b0n0 ofi+cxi://0x009b4600
x4000c5s2b0n0 ofi+cxi://0x009b6200
x4000c5s3b0n0 ofi+cxi://0x009b4200
x4000c5s4b0n0 ofi+cxi://0x009b2000
x4000c5s5b0n0 ofi+cxi://0x009b0000
x4000c5s6b0n0 ofi+cxi://0x009b2400
x4000c5s7b0n0 ofi+cxi://0x009b0400
x4000c6s0b0n0 ofi+cxi://0x009d6600
x4000c6s1b0n0 ofi+cxi://0x009d4600
x4000c6s2b0n0 ofi+cxi://0x009d6200
x4000c6s3b0n0 ofi+cxi://0x009d4200
x4000c6s4b0n0 ofi+cxi://0x009d2000
x4000c6s5b0n0 ofi+cxi://0x009d0000
x4000c6s6b0n0 ofi+cxi://0x009d2400
x4000c6s7b0n0 ofi+cxi://0x009d0400
x4000c7s0b0n0 ofi+cxi://0x009f6600
x4000c7s1b0n0 ofi+cxi://0x009f4600
x4000c7s2b0n0 ofi+cxi://0x009f6200
x4000c7s3b0n0 ofi+cxi://0x009f4200
x4000c7s4b0n0 ofi+cxi://0x009f2000
x4000c7s5b0n0 ofi+cxi://0x009f0000
x4000c7s6b0n0 ofi+cxi://0x009f2400
x4000c7s7b0n0 ofi+cxi://0x009f0400
x4001c0s0b0n0 ofi+cxi://0x00a16600
x4001c0s1b0n0 ofi+cxi://0x00a14600
x4001c0s2b0n0 ofi+cxi://0x00a16200
x4001c0s3b0n0 ofi+cxi://0x00a14200
x4001c0s4b0n0 ofi+cxi://0x00a12000
x4001c0s5b0n0 ofi+cxi://0x00a10000
x4001c0s6b0n0 ofi+cxi://0x00a12400
x4001c0s7b0n0 ofi+cxi://0x00a10400
x4001c1s0b0n0 ofi+cxi://0x00a36600
x4001c1s1b0n0 ofi+cxi://0x00a34600
x4001c1s2b0n0 ofi+cxi://0x00a36200
x4001c1s3b0n0 ofi+cxi://0x00a34200
x4001c1s4b0n0 ofi+cxi://0x00a32000
x4001c1s5b0n0 ofi+cxi://0x00a30000
x4001c1s6b0n0 ofi+cxi://0x00a32400
x4001c1s7b0n0 ofi+cxi://0x00a30400
x4001c2s0b0n0 ofi+cxi://0x00a56600
x4001c2s1b0n0 ofi+cxi://0x00a54600
x4001c2s2b0n0 ofi+cxi://0x00a56200
x4001c2s3b0n0 ofi+cxi://0x00a54200
x4001c2s4b0n0 ofi+cxi://0x00a52000
x4001c2s5b0n0 ofi+cxi://0x00a50000
x4001c2s6b0n0 ofi+cxi://0x00a52400
x4001c2s7b0n0 ofi+cxi://0x00a50400
x4001c3s0b0n0 ofi+cxi://0x00a76600
x4001c3s1b0n0 ofi+cxi://0x00a74600
x4001c3s2b0n0 ofi+cxi://0x00a76200
x4001c3s3b0n0 ofi+cxi://0x00a74200
x4001c3s4b0n0 ofi+cxi://0x00a72000
x4001c3s5b0n0 ofi+cxi://0x00a70000
x4001c3s6b0n0 ofi+cxi://0x00a72400
x4001c3s7b0n0 ofi+cxi://0x00a70400
x4001c4s0b0n0 ofi+cxi://0x00a96600
x4001c4s1b0n0 ofi+cxi://0x00a94600
x4001c4s2b0n0 ofi+cxi://0x00a96200
x4001c4s3b0n0 ofi+cxi://0x00a94200
x4001c4s4b0n0 ofi+cxi://0x00a92000
x4001c4s5b0n0 ofi+cxi://0x00a90000
x4001c4s6b0n0 ofi+cxi://0x00a92400
x4001c4s7b0n0 ofi+cxi://0x00a90400
